@relation RetuersData_Test

@attribute text string
@attribute class {earn,acq}

@data'AB Astra ASTS.ST said it was proposing a two-for-one share split and the issue in June of a new series of foreign-targeted shares with lower voting rights as part of a strategy to internationalise the company.     The deal, which requires Swedish government approval, will raise the percentage of foreign voting rights allowed in the medical group to 22.5 pct from 20 pct, Astra said.     An extraordinary meeting of Astra\'s board proposed the creation of B free shares open to foreign buyers with one tenth of a voting right per share. At present, Astra stock consists of one series of restricted shares and one of free shares.  \n',earn
'Year 1986     Shr 33.54p vs 34.2p.     Final div 9.5p, making 14p vs 12.75p.     Pre-tax profit 105.9 mln stg vs 79.6 mln.     Net profit before minorities 56 mln vs 52.1 mln.     Turnover net of duties 1.32 billion stg vs 1.46 billion.     Minorities 800,000 stg vs same.     Extraordinary debit 20.4 mln vs 28.2 mln.     NOTE: Company\'s full name is The Burmah Oil Co Plc BURM.L^M \n',earn
'The current year has opened well, with trading prospects remaining favourable, Burmah Oil Co Plc BURM.L said in a statement with its 1986 results.     The company plans to maintain a steady rate of investment in its marketing operations and to obtain improved profit margins on its liquified natural gas, LNG, project.     Burmah has the financial capacity to continue making acquisitions within its business sectors, it added. The rationalisation programme, including sale of the Bahamas oil terminal and all peripheral activities, is now complete.     Pre-tax profit for 1986 rose to 105.9 mln stg from 79.6 mln.^M \n',earn
'Shr 83 cts vs 67 cts     Net 10,052,000 vs 7,929,000     Avg shrs 12,161,000 vs 11,824,000     Nine mths     Shr 2.33 dlrs vs 1.91 dlrs     Net 28,110,000 vs 22,386,000     Avg shrs 12,078,000 vs 11,729,000     Assets 5.9 billion vs 5.7 billion     Deposits 5.3 billion vs 4.8 billion     Loans and leases 4.2 billion vs 4.0 billion  \n',earn
'Shr loss 26 cts     Net loss 1,277,737     Revs 3.7 mln     Note: full name Canadian Home Shopping Network Ltd.     Period ended April 30 was company\'s first quarter of operations.  \n',earn
'Credit Commercial de France CCFP.PA reported a parent company net profit up 34.8 pct to 140.1 mln francs from 103.9 mln francs a few weeks before its denationalisation around the end of this month.     Official sources said the bank, France\'s sixth largest in terms of its deposits and seventh in terms of its assets,  planned a share split to increase the number of shares on offer ahead of the sale of 40 pct of its ordinary share capital to the public, of 10 pct to staff and 20 pct abroad.     Previously one of France\'s biggest private banks, it was nationalised by the Socialists in 1982.     The sources said it was too early to give details of the planned split or of the share price, but cited April 27 as a likely date for the flotation launch.     So far 30 pct of the group\'s capital, currently at 10.33 mln shares of 100 francs nominal, has been offered for sale to large private investors to constitute a solid core of eight to ten shareholders before the flotation.     The private tender offer closes on April 16, while a 12 mln franc advertising campaign for the flotation begins on Sunday. \"The privatisation will be a way of attracting extra clients,\" CCF deputy director-general Rene de la Serre tolds.     Market sources put the total value of CCF\'s privatisation at between four and five billion francs.     De la Serre said the bank was likely to attract at least the same number of investors as Sogenal, another recently privatised bank in which 850,000 people bought shares.     The government\'s sweeping privatisation programme has also included the sale of Saint-Gobain SGEP.PA, and Cie Financiere de Paribas PARI.PA. The sale of Banque du Batiment et des Travaux Publics and Banque Industrielle et Mobiliere Privee should be completed this month, while third largest French bank Societe Generale SGEN.PA will be privatised later this year.  \n',earn
'Citibank A/S CCI.N, the Norwegian subsidiary of the U.S.-based bank, said it made a net loss of just over six mln crowns in 1986 -- although foreign bankers said they expect it to show 1987 profits after two lean years.     Citibank\'s Oslo treasury head Bjoern Sejerstad tolds, Citibank, one of seven foreign bank subsidiaries operating in Norway, lost money because of restructuring for investment banking away from commercial banking and an economic slump in Norway following last year\'s plunge in oil prices.     Foreign banks have been allowed to operate susbidiaries in Norway since 1985.     Foreign banking analysts in Oslo said access to Norway\'s second-hand securities and equities markets, to be approved later this spring, and lower primary reserve requirements would make profit this year.     Citibank lost 490,000 crowns in Norway in 1985, but Sejerstad said a profit was likely this year because of planned liberalisation and better economic performance, helped by a steadier oil price of around 18 dlrs a barrel.     Earlier this year, Chase Manhattan Bank\'s CMB.N subsidiary decided to stop foreign exchange trading after heavy losses and focus instead on fee-based merchant banking.  \n',earn
'Continental Bank of Canada said shareholders approved a capital reorganization to allow an initial payout by the end of May to common shareholders from last year\'s 200 mln Canadian dlr sale of most Continental assets to Lloyds Bank PLC\'s Lloyds Bank Canada.     The bank said the initial distribution would take the form of a stock dividend of cumulative redeemable retractable class A series two preferred shares entitling holders to monthly floating rate dividends at 72 pct of prime and to 12.75 dlrs a share on retraction.     Continental said the initial payout was subject to Canadian government approval.     The bank reiterated that total distributions to common shareholders would range from 16.50 dlrs a share to 17.25 dlrs including the initial stock dividend and a final distribution in late 1988 or early 1989.     The payout of existing preferred shareholders will be completed just before next month\'s initial distribution to common shareholders, Continental added.      \n',earn
'French commercial bank Credit Commercial de France has split each of its shares into four to increase the number of shares on offer when it is privatised at the end of this month, a company official said.     He tolds a general assembly had passed a proposal splitting 10.33 mln shares of 100 francs nominal into around 41.32 mln shares of 25 francs nominal.     Market sources have put the total value of CCF\'s selloff at between four and five billion francs. The bank said the share sale price was likely to be announced on April 24, before the launch of a public flotation offer on April 27.  \n',earn
'Year ended March 31, 1987     Fin div 9.25p making 12p vs 10.74p     Shr 28.3p vs 27.5p     Pretax profit 55.63 mln stg vs 49.36 mln     Net 38.80 mln vs 33.64 mln     Turnover 444.10 mln vs 309.85 mln     Net interest payable 3.50 mln vs 3.79 mln     Profit share of related companies 7.62 mln vs 9.64 mln     Note - The De La Rue Co. Plc DLAR.L proposes to offer ordinary shareholders the opportunity to receive their dividends in the form of new shares as an alternative to cash.  \n',earn
'Shr 86 cts vs 74 cts     Net 11.1 mln vs 8.6 mln     Revs 87.7 mln vs 80.5 mln     Avg shrs 12,857,904 vs 11,578,259     Nine mths     Shr 2.61 dlrs vs 2.15 dlrs     Net 32.6 mln vs vs 24.8 mln     Revs 269.8 mln vs 257.8 mln     Avg shrs 12,482,780 vs 11,502,035     12 mths     Shr 3.28 dlrs vs 2.80 dlrs     Net 40.3 mln vs 32.1 mln     Revs 355.4 mln vs 342.1 mln     Avg shrs 12,271,220 vs 11,457,028  \n',earn
'Shr Class A loss three cts vs profit 12 cts     Shr Class B loss seven cts vs profit eight cts     Net loss 94,862 vs profit 264,607     Sales 653,246 vs 1,300,515     Nine mths     Shr Class A profit five cts vs profit 44 cts     Shr Class B loss three cts vs profit 36 cts     Net profit 64,248 vs profit 975,329     Sales 2,291,925 vs 4,235,914     NOTE: Full name is Electronic Tele-Communications Inc ETCIA.O   \n',earn
'The Federal Home Loan Bank Board said its insured savings and loan associations (thrifts) that made a profit in the fourth quarter of 1986 reported moderate increases in net earnings.     It said that the 74 pct of the thrifts reporting profits had net after-tax income of 2.3 billion dlrs, up from 2.0 billion dlrs earned by 77 pct of the profitable industry in the third quarter.     For 1986 as a whole, the profitable firms had a net income of 9.2 billion dlrs, up from 7.3 billion dlrs in 1985.      It said the 26 pct of the industry that made no profit in the fourth quarter had losses of 3.2 billion dlrs.     The figure for the unprofitable firms was up from 2.1 billion dlrs in the third quarter of 1986, it said.     Over the year, these firms had total losses of 8.3 billion dlrs, up from 3.6 billion dlrs in 1985.  \n',earn
'Year 1986     Net profit 132 billion lire vs 82 billion     Ordinary share dividend 500 lire vs 400     Note - Finanziaria Di Sviluppo Spa, a financial services subsidiary of Fiat Spa FIAT.MI, said in a statement that shareholders approved a previously announced nominal share capital increase from 125 billion lire to 250 billion.  \n',earn
'Mthly div 6.5 cts vs 6.5 cts prior     Pay April 30     Reord April 15     NOTE: Franklin California Insured Tax-Free Income Fund.  \n',earn
'Mthly div eight cts vs 7.1 cts prior     Pay April 30     Record April 15     NOTE: Franklin High Yield Tax-Free Income Fund.  \n',earn
'Mthly div 7.1 cts vs 7.1 cts prior     Pay April 30     Reord April 15     NOTE: Franklin Insured Tax-Free Income Fund.  \n',earn
'Mthly div 6.5 cts vs 6.5 cts prior     Pay April 30     Reord April 15     NOTE: Franklin Massachusetts Insured Tax-Free Income Fund.  \n',earn
'Mthly div 6.6 cts vs 6.9 cts prior     Pay April 30     Record April 15     NOTE: Franklin michigan Insured Tax-Free Income Fund.  \n',earn
'Mthly div 6.6 cts vs 6.6 cts prior     Pay April 30     Reord April 15     NOTE: Franklin Minnesota Insured Tax-Free Income Fund.  \n',earn
'Mthly div 6.1 cts vs 6.1 cts prior     Pay April 30     Reord April 15     NOTE: Franklin Ohio Insured Tax-Free Income Fund.  \n',earn
'Franklin Pennsylvania Tax-Free Income Fund said its board declared an initial monthly dividend of six cts per share, payable April 30 to holders of record April 15.  \n',earn
'Franklin Pennsylvania Investors U.S. Government Securities Fund Fund said its board declared an initial monthly dividend of 7.8 cts per share, payable April 30 to holders of record April 15.  \n',earn
'Mthly div 7.1 cts vs 7.1 cts prior     Pay April 30     Reord April 15     NOTE: Franklin Puerto Rico Tax-Free Income Fund.  \n',earn
'Year 1986     Consolidated net profit 67 mln Swiss francs vs 42 mln.     Dividend 100 francs per registered share vs 80 francs and 10 francs per participation certificate vs eight.     Consolidated turnover 4.55 billion francs vs 4.54 billion.     Parent company net profit 38.2 mln francs vs 26.4 mln.     Parent company turnover 2.20 billion francs vs 2.29 billion.     Note - Company\'s full name is Gebrueder Sulzer AG SULZ.Z  \n',earn
'Year to December 31, 1986.     Shr 18.35p vs 14.95p     Div 3.75p vs 2.9p making 4.75p vs 3.75p     Pretax profit 66.5 mln stg vs 46.9 mln     Tax 14.6 mln stg vs 4.5 mln     Net profit 51.9 mln stg vs 42.4 mln     Turnover 1.44 billion stg vs 1.58 billion     Note - Full name of company is George Wimpey Plc WMPY.L.     Operating profit before exceptional items 88.9 mln stg vs 80.5 mln     Exceptional debits 3.0 mln stg vs 11.6 mln     Operating profit 85.9 mln stg vs 68.9 mln     Share of profits less losses of associated companies 1.4 mln stg vs 2.4 mln loss     Interest - net payable 20.8 mln stg vs 19.6 mln     Attributable minority profits debits 0.2 mln stg vs 0.3 mln     Extraordinary items debit 3.4 mln stg vs 4.3 mln credit     Net borrowings 195.1 mln stg vs 193.5 mln  \n',earn
'George Wimpey Plc WMPY.L said  the outlook for 1987 looked encouraging as the company realised the continuing benefits of restructuring.     It said its overall financial position showed further improvement in 1986 and the reshaping of its U.K. Business into clearly defined and activity related divisions had been successfully achieved.     Wimpey was commenting in a statement on its 1986 results which showed pretax profits up 42 pct to 66.5 mln stg.     The group had a good overall year in North America, the company said in a statement.  \n',earn
'Six months to end-December     Shr 32.6p vs 22.3p     Div 5.0p vs 4.0p     Pre-tax profit 376 mln stg vs 260 mln     Turnover 883 mln vs 686 mln     Tax 133 mln vs 94 mln     Note - company full name is Glaxo Holdings Plc GLXO.L.     Trading profit 338 mln vs 233 mln     Share of profits of associates 14 mln vs seven mln     Investment income less interest payable 24 mln vs 20 mln     Profit after tax 243 mln vs 166 mln     Minority interests two mln vs one mln     Extraordianry credit eight mln vs nil     Turnover includes -     Continuing activities 875 mln vs 647 mln     Discontinued activities eight mln vs 39 mln     U.K. 111 mln vs 91 mln     Europe 299 mln vs 218 mln     North America 334 mln vs 229 mln     Central and South America 21 mln vs 20 mln     Africa and Middle East 29 mln vs 23 mln     South East Asia and Far East 57 mln vs 47 mln     Australasia 24 mln vs 19 mln     Anti-peptic ulcerants 414 mln vs 285 mln     Systemic antibiotics 112 mln vs 82 mln     Respiratory system 183 mln vs 141 mln  \n',earn
'Six months ended March 31, 1987     Share 6.0p vs 4.1p, diluted     Interim dividend 1.4p vs 1.05p     Pre-tax profit 312 mln stg vs 158 mln     Net profit 234 mln vs 114 mln     Sales 3.47 billion vs 1.55 billion     Operating profit 296 mln vs 164 mln     Interest and other income less central expenses credit 16 mln vs debit six mln     Company\'s full name is Hanson Trust Plc HNSN.L.     U.K. Operating profit by sector -     Consumer goods 123 mln stg vs 32 mln     Building products 31 mln vs 26 mln     Industrial 14 mln vs same     Food 20 mln vs nil.     U.S. Sectors -     Consumer goods 25 mln stg vs 20 mln     Building products 29 mln vs 25 mln     Food seven mln vs two mln     Businesses owned in 1986 and sold during 1987 nil vs nine mln.  \n',earn
'Dutch brewer Heineken NV said it hoped to maintain for a number of years a similar earnings growth to the 7.5 pct increase in net profit achieved in 1986, despite continuing investments in a reorganization program and efforts to extend world penetration.     Heineken last month reported a 1986 net profit of 285 mln guilders, after 265 mln in 1985.     Chairman Freddie Heineken said the company, Europe\'s leading beer producer with six pct of market share in 1986, said sales increased by 6.3 pct to 42.1 mln hectoliters.     The volume increase was due mainly to a rise in the U.S., Where the brand Amstel Lite saw great demand, and in Europe, where sales accounted for 25.5 pct of the total.     Turnover, despite losses in guilder terms due to weaker foreign currencies, rose by 4.4 pct, to 6.7 billion guilders.     Further consolidation of foreign companies, including the increase of its stake in leading Spanish brewery El Aguila S.A. to 51.2 pct, new ventures and modernization, particularly in French and Spanish interests, eroded profit margins. The company still planned to invest 700 mln guilders this year in restructuring and marketing, Heineken said.     Heineken\'s Spanish activities should start yielding profit next year, Heineken said, adding that its French operations had already turned to profit after vast rationalization last year.     Vice Chairman Gerard van Schaik said the decision by the European Court of Justice in Luxembourg to allow foreign beer into the closed West German market -- Europe\'s biggest beer market -- offered interesting possibilities for Heineken. \"We have the beer, but distribution and sales is the important point,\" van Schaik said, adding that since the ruling Heineken had been inundated by German traders seeking joint ventures.     \"The question is not if we want to penetrate the German market, but how we are to do it,\" van Schaik said, adding that while the widely traveled Germans seemed to be developing a taste for foreign beer, the internal structure was very regionalized.      Heineken board member Hans Coebergh, responsible for African operations, said he saw Africa as one of the most important beer growth markets in the long term.      He said the company, present in Africa since 1932 and with majority stakes in six breweries and interests in 25, was hampered by the lack of hard currencies there.     Africa, where beer consumption averages only nine liters per head per year and sales are limited by import restrictions and currency risks, nonetheless accounted for 6.5 pct of total 1986 sales.     On-site production is rendered expensive by the high price of imports of essential ingredients. But Heineken scientists have been looking at other possibilities.     To balance the costs of imported malt, Heinken launched on the Nigerian market a new beer made of 50 pct sorghum, which had sold successfully, Coebergh said.     Heineken is urging farmers to grow the traditional raw materials, but Coebergh noted that banana and palm beer were popular in Rwanda . \"This is a possibility, but we could not possibly achieve the Heineken flavor,\" Coebergh said.     Chairman Heineken said the company\'s seven year efforts to penetrate the Soviet market had finally resulted this week in a contract that relaxed some of the restrictions they faced.     But again, a lack of hard currencies limited Heineken\'s market potential. Heineken now has seven bars in Moscow that are enjoying good sales, but the bars only accept western money.  \n',earn
'The fully state-owned Dutch chemical firm NV DSM DSMN.AS said its 1986 net profit rose to 412 mln guilders from 402 mln in 1985, while turnover fell to 17.7 billion guilders in 1986 from 24.1 billion in 1985.     The company said 1986 dividend, which will be paid to the Dutch state in its capacity of the firm\'s sole shareholder, would be raised to 98 mln guilders from 70 mln guilders in 1985.     In an initial comment on its 1986 results, DSM said the drop in 1986 turnover had been caused mainly by losses in the company\'s fertilizer division.  \n',earn
'International Thomson Organisation Ltd said it will report financial results in U.S. funds rather than sterling, beginning from Jan 1, 1987.     It said the change will not be applied retroactively to prior financial periods.     The company said as a result of recent investments, most of its assets now are located in the United States.               \n',earn
'Isuzu Motor Ltd ISUM.T will pay no dividend for the first half year ending April 30, 1987, as the company is expected to mark a 12 billion yen parent company current loss in the first half due to slow exports caused by the yen\'s appreciation, a company spokesman said.     The company has paid no dividend since the year ended October 31, 1983, when it paid five yen.     It had a 4.44 billion yen current profit in the first half of 1985/86.  \n',earn
'Italian insurer La Fondiaria Spa LFDI.MI said it expects to report consolidated group profit in 1986 significantly higher than the 60 billion lire reported in 1985.     The company said in a statement that parent company net profit last year will rise from the 72 billion lire reported in 1985. Consolidated group premiums totaled 1,700 billion lire in 1986 compared with 1,490 billion the previous year.     Iniziativa Meta INZI.MI, the financial services unit of Montedison Spa MONI.MI, controls the largest single stake in Florence-based Fondiaria with 49.9 pct.  \n',earn
'Year to March 31     Fin div 3.5p making 5.5p vs 2.5p     Shr 25.2p vs 14.7p     Pretax profit 50.5 mln stg vs 30.1 mln     Net after tax 36.0 mln vs 21.6 mln     Turnover 1.22 billion vs 1.16 billion     Extraordinary dbt 10.3 mln vs 8.2 mln     Note - Full company name is Johnson-Matthey Plc.  \n',earn
'Shr 17 cts vs 13 cts      Net 2.1 mln vs 1.03 mln      Revs 15.6 mln vs 12 mln      Nine mths      Shr 58 cts vs 37 cts      Net 6.9 mln vs 3.7 mln      Revs 56.2 mln vs 27.5 mln      Avg shrs 11.9 mln vs 10.0 mln  \n',earn
'Shr 15 cts vs 10 cts     Net 1,790,824 vs 1,031,602     Revs 14.0 mln vs 6.7 mln     Nine mths     Shr 41 cts vs 23 cts     Net 4,830,513 vs 2,296,192     Revs 40.5 mln vs 15.4 mln     Avg shrs 12.0 mln vs 10.5 mln  \n',earn
'Kiena Gold Mines Ltd said shareholders approved a previously reported proposed two-for-one common stock split.     Record date of the split will be April 21, Kiena said.  \n',earn
'Shr 20 cts vs 12 cts     Net 34,088,000 vs 18,727,000     Revs 340.4 mln vs 200.3 mln     Nine mths     Shr 53 cts vs 31 cts     Net 88,661,000 vs 49,059,000     Revs 926.5 mln vs 560.1 mln     Avg shrs 151.1 mln vs 137.0 mln  \n',earn
'Year to March 31     Final dividend 3.65p vs 3.1p making 5.4p vs 4.6p     Share 14.11p vs 12.13p     Pre-tax profit 27.11 mln stg vs 24.06 mln     Net profit 18.12 mln vs 15.21 mln     Turnover 252.11 mln vs 225.29 mln     Note - London International Group Plc LONL.L said that sharply increased sales of condoms had led to a particularly strong start to the year and it had considerable confidence for the future. \n',earn
'LORD ABBETT BOND DEBENTURE FUND     Qtly div 28 cts vs 29 cts prior     Pay May 5     Record April 9     ---     LORD ABBETT U.S. GOVERNMENT SECURITIES FUND     Daily div 2.9 cts vs 2.9 cts prior     Pay May 15     Record May 15     LORD ABBETT TAX FREE INCOME FUND NATIONAL SERIES     Daily div 6.7 cts vs 6.7 cts prior     Pay May 15     Record May 15     ---     LORD ABBETT TAX FREE INCOME NEW YORK SERIES     Daily div 6.7 cts vs 6.7 cts prior     Pay May 15     Record May 15     LORD ABBETT TAX FREE INCOME TEXAS SERIES     Daily div 5.9 cts vs 5.9 cts prior     Pay May 15     Record May 15     ---     LORD ABBETT CALIFORNIA TAX FREE INCOME     Daily div of 6.2 cts vs 6.2 cts prior     Pay May 15     Record May 15  \n',earn
'Wholly-owned Mobil Corp MOB unit, Mobil Oil Australia Ltd, reported a 38.63 mln dlr net loss in 1986, a turnaround from its 37.25 mln profit in 1985.     The loss reflected a combination of strikes plus scheduled and unscheduled refinery shutdowns for maintenance and inventory losses caused by government controls on both crude and product prices, Mobil said in a statement.     However, equity-accounting of associates\' profits reduced the loss to 24 mln dlrs against a 37 mln profit in 1985.     Mobil said it was confident 1987 would see a return to profit as it built further on its 1985 company restructuring.  \n',earn
'Montedison SPA of Italy said net consolidated profit for its Agrimont Group, formed in June 1986, totalled 1.5 billion lire in 1986.     Agrimont SPA, the holding company for Montedison\'s Agro-Industrial businesses, had sales of 810 billion lire and a net profit of about 1.1 billion lire, after amortization costs of 35 billion lire and a 13 billion lire reduction in the value of inventory due to falling market prices, Montedison said.     Agrimont, still wholly owned by Montedison, is taking steps to be traded on the Milan exchange, the company said.     The company said that 1986 was characterized by an unstable fertlizer market due to the weak dollar and the decline of international prices for products sold in Europe and the U.S where Agrimont operates through its Conserv division.     In pesticides and in animal health care products Agrimont maintained its previous level of revenues and market share in 1986, Montedison said.     Montedison said it named Ettore dell\'Isola to the newly created position of president of Agrimont.     Montedison also said it named Renato Picco, managing director of Eridania SPA and Gianfranco Ceroni, managing director of Italiana Olii e Sifi, both of whom are members of the the Ferruzzi Group\'s management board, to Argimont\'s board of directors. Ferruzzi owns about 40 pct of Montedison, the company said.       \n',earn
'Year to December 28, 1986     Shr 20.1p vs 17.6p     Div 5.0p vs 4.6p making 9.2p vs 8.5p     Turnover 242.1 mln stg vs 211.5 mln     Pretax profit 24.8 mln vs 18.7 mln     Tax 6.7 mln vs 5.8 mln     Operating profit 28.3 mln vs 21.3 mln     Investment income 1.0 mln vs 0.7 mln     Net finance charges 4.5 mln vs 3.3 mln     Company full name is Morgan Crucible Co Plc MGCR.L     Minorities and provisions for preference dividends 0.7 mln vs 1.2 mln     Extraordinary debit - 0.9 mln vs 1.3 mln credit     Operating profit includes -     Carbon 8.3 mln vs 7.0 mln     Technical ceramics 7.0 mln vs 5.6 mln     Thermal ceramics 7.6 mln vs 4.6 mln     Speciality chemicals 4.4 mln vs 4.0 mln     Electronics 1.0 mln vs 0.1 mln^M \n',earn
